"","Document","Topic","Name","Representation","Representative_Docs","Top_n_words","Probability","Representative_document"
"1","Yep. Clinton was our last populist president. Which makes the Kamala issue so fascinating. With Clintons endorsement, the same issues on the right are happening on the left. Biden was a bone to the OGs in 2008. Its all so fascinating!",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",1,FALSE
"2","With Biden officially dropping out,  should be talking to these people to find their candidate.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"3","Trump can walk all over Biden, yall can call women bitches and show how fragile your ego is and only one will prevail in the end.",2,"2_she_her_shes_vp","['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]","she - her - shes - vp - would - michelle - and - as - border - than",1,FALSE
"4","Did you know that Im also a ghostwriter at CNN too? Angry and stunnedDemocratsblame Bidens closest advisers for shielding public from full extent of presidents decline",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"5","Political machines Trump has ended; The Bidens The Bushs The Clintons",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.826864822762414,FALSE
"6","Who cares! this is 13 years ago!! Move on my boy nothing stays as the same Trump2024",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"7","Joe Biden is Complicit in the Genocide of PALESTINIANS in their Gaza Concentration Camp! Shameful! History will Never forgive or Forget!",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.779618048145088,FALSE
"8","I repect Mr. Biden decision, if you think, you are too old the you kann withdraw. An old man muss not run for president, if he is not fit. And there is an old, weak man still in race!",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"9","Please read my reply post to  about this topic. I would guess $50MM plus Pardons for all Bidens+; plus jobs or Ambassadorships for senior Biden aides.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"10","Yall know I love being the crazy conspiracy theorist, but the way the boys season ended and Biden dropping out like he did is oddly similar. #iDontCareIfimReaching",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.971425334383518,FALSE
"11","They said this was their plan as soon as the BS started over having Biden drop out. They are trying to have an election with no candidate for President on the ballot.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"12","If Trump wins, JD Vance will pull the 25th Amendment on Trump before Trump can finish wearing his Orange make up.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.932623540757522,FALSE
"13","Thank you and President Biden for our leadership and improving quality life for all Americans I support your candidacy for president. We need you right now.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"14","He proved the Leftist wing of the party wrong when they said he wouldnt be too ambitious. He even proved Donald Trump wrong after he predicted the markets would all crash under Biden.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"15","The GOP is just openly antidemocratic at this point. The point is to actually WIN the election, not to install your candidate by disenfranchising millions of voters.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"16","President Joe Biden is a true patriot. He has always fought for America and protecting democracy. It is time Nancy and Chuck to pull the knives out of Joes back and fully support Kamala Harris. If we lose this election I will blame you all.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.86634042250762,FALSE
"17","Biden out? ITS HER TIME TO SHINE.",2,"2_she_her_shes_vp","['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]","she - her - shes - vp - would - michelle - and - as - border - than",1,FALSE
"18","This is the right decision. Biden is a great politician. In the long run this could put him up there on Mt. Rushmore with Washington &amp; Lincoln personally Id put him ahead of both Roosevelts. He is a lot like Harry Truman.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"19","Yes because she has done such a great job as the border czar that Biden appointed her to",2,"2_she_her_shes_vp","['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]","she - her - shes - vp - would - michelle - and - as - border - than",1,FALSE
"20","where was this energy with Biden?",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"21","A prosecutor versus a convicted felon - theres no clearer good versus evil pawlitical battle for the soul and future of our country, and the stakes are incommensurable. Thanks to  Bidens vision, were in a very good pawsition to ensure kindness, justice,",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.859187113823291,FALSE
"22","LOL, Biden was forced out. Plain and simple, and it was a good decision by the democrats. Lets see what comes of this.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"23","I trust Trumps (Dis)orderlies more than I trust Bidens orderlies.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"24","Because the Bidens care so much about their people.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"25","I bet they made a deal to pardon Hunter if Biden drops out..",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.817855222278981,FALSE
"26","If Trump isn't elected, how will we ever find out how the Great Battle Between Sharks and Batteries pans out? RIP,",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.815567452111154,FALSE
"27","Honestly, Im not sure yet.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.833973598473454,FALSE
